,delivery_area_id,date,hour,partners_cnt,orders_cnt
0,0,2021-12-01,7,8,6.0
1,0,2021-12-01,8,8,6.0
2,0,2021-12-01,9,8,6.0
3,0,2021-12-01,10,8,6.0
4,0,2021-12-01,11,8,6.0
5,0,2021-12-01,12,8,6.0
6,0,2021-12-01,13,8,6.0
7,0,2021-12-01,14,8,6.0
8,0,2021-12-01,15,8,6.0
9,0,2021-12-01,16,8,6.0
10,0,2021-12-01,17,8,6.0
11,0,2021-12-01,18,8,6.0
12,0,2021-12-01,19,8,6.0
13,0,2021-12-01,20,8,6.0
14,0,2021-12-01,21,8,6.0
15,0,2021-12-01,22,8,6.0
16,0,2021-12-01,23,8,6.0
17,0,2021-12-02,7,8,7.0
18,0,2021-12-02,8,8,7.0
19,0,2021-12-02,9,8,7.0
20,0,2021-12-02,10,8,7.0
21,0,2021-12-02,11,8,7.0
22,0,2021-12-02,12,8,7.0
23,0,2021-12-02,13,8,7.0
24,0,2021-12-02,14,8,7.0
25,0,2021-12-02,15,8,7.0
26,0,2021-12-02,16,8,7.0
27,0,2021-12-02,17,8,7.0
28,0,2021-12-02,18,8,7.0
29,0,2021-12-02,19,8,7.0
30,0,2021-12-02,20,8,7.0
31,0,2021-12-02,21,8,7.0
32,0,2021-12-02,22,8,7.0
33,0,2021-12-02,23,8,7.0
34,0,2021-12-03,7,8,7.0
35,0,2021-12-03,8,8,7.0
36,0,2021-12-03,9,8,7.0
37,0,2021-12-03,10,8,7.0
38,0,2021-12-03,11,8,7.0
39,0,2021-12-03,12,8,7.0
40,0,2021-12-03,13,8,7.0
41,0,2021-12-03,14,8,7.0
42,0,2021-12-03,15,8,7.0
43,0,2021-12-03,16,8,7.0
44,0,2021-12-03,17,8,7.0
45,0,2021-12-03,18,8,7.0
46,0,2021-12-03,19,8,7.0
47,0,2021-12-03,20,8,7.0
48,0,2021-12-03,21,8,7.0
49,0,2021-12-03,22,8,7.0
50,0,2021-12-03,23,8,7.0
51,0,2021-12-04,7,9,8.0
52,0,2021-12-04,8,9,8.0
53,0,2021-12-04,9,9,8.0
54,0,2021-12-04,10,9,8.0
55,0,2021-12-04,11,9,8.0
56,0,2021-12-04,12,9,8.0
57,0,2021-12-04,13,9,8.0
58,0,2021-12-04,14,9,8.0
59,0,2021-12-04,15,9,8.0
60,0,2021-12-04,16,9,8.0
61,0,2021-12-04,17,9,8.0
62,0,2021-12-04,18,9,8.0
63,0,2021-12-04,19,9,8.0
64,0,2021-12-04,20,9,8.0
65,0,2021-12-04,21,9,8.0
66,0,2021-12-04,22,9,8.0
67,0,2021-12-04,23,9,8.0
68,0,2021-12-05,7,8,7.0
69,0,2021-12-05,8,8,7.0
70,0,2021-12-05,9,8,7.0
71,0,2021-12-05,10,8,7.0
72,0,2021-12-05,11,8,7.0
73,0,2021-12-05,12,8,7.0
74,0,2021-12-05,13,8,7.0
75,0,2021-12-05,14,8,7.0
76,0,2021-12-05,15,8,7.0
77,0,2021-12-05,16,8,7.0
78,0,2021-12-05,17,8,7.0
79,0,2021-12-05,18,8,7.0
80,0,2021-12-05,19,8,7.0
81,0,2021-12-05,20,8,7.0
82,0,2021-12-05,21,8,7.0
83,0,2021-12-05,22,8,7.0
84,0,2021-12-05,23,8,7.0
85,0,2021-12-06,7,8,6.0
86,0,2021-12-06,8,8,6.0
87,0,2021-12-06,9,8,6.0
88,0,2021-12-06,10,8,6.0
89,0,2021-12-06,11,8,6.0
90,0,2021-12-06,12,8,6.0
91,0,2021-12-06,13,8,6.0
92,0,2021-12-06,14,8,6.0
93,0,2021-12-06,15,8,6.0
94,0,2021-12-06,16,8,6.0
95,0,2021-12-06,17,8,6.0
96,0,2021-12-06,18,8,6.0
97,0,2021-12-06,19,8,6.0
98,0,2021-12-06,20,8,6.0
99,0,2021-12-06,21,8,6.0
100,0,2021-12-06,22,8,6.0
101,0,2021-12-06,23,8,6.0
102,0,2021-12-07,7,8,6.0
103,0,2021-12-07,8,8,6.0
104,0,2021-12-07,9,8,6.0
105,0,2021-12-07,10,8,6.0
106,0,2021-12-07,11,8,6.0
107,0,2021-12-07,12,8,6.0
108,0,2021-12-07,13,8,6.0
109,0,2021-12-07,14,8,6.0
110,0,2021-12-07,15,8,6.0
111,0,2021-12-07,16,8,6.0
112,0,2021-12-07,17,8,6.0
113,0,2021-12-07,18,8,6.0
114,0,2021-12-07,19,8,6.0
115,0,2021-12-07,20,8,6.0
116,0,2021-12-07,21,8,6.0
117,0,2021-12-07,22,8,6.0
118,0,2021-12-07,23,8,6.0
119,1,2021-12-01,7,8,7.0
120,1,2021-12-01,8,8,7.0
121,1,2021-12-01,9,8,7.0
122,1,2021-12-01,10,8,7.0
123,1,2021-12-01,11,8,7.0
124,1,2021-12-01,12,8,7.0
125,1,2021-12-01,13,8,7.0
126,1,2021-12-01,14,8,7.0
127,1,2021-12-01,15,8,7.0
128,1,2021-12-01,16,8,7.0
129,1,2021-12-01,17,8,7.0
130,1,2021-12-01,18,8,7.0
131,1,2021-12-01,19,8,7.0
132,1,2021-12-01,20,8,7.0
133,1,2021-12-01,21,8,7.0
134,1,2021-12-01,22,8,7.0
135,1,2021-12-01,23,8,7.0
136,1,2021-12-02,7,8,7.0
137,1,2021-12-02,8,8,7.0
138,1,2021-12-02,9,8,7.0
139,1,2021-12-02,10,8,7.0
140,1,2021-12-02,11,8,7.0
141,1,2021-12-02,12,8,7.0
142,1,2021-12-02,13,8,7.0
143,1,2021-12-02,14,8,7.0
144,1,2021-12-02,15,8,7.0
145,1,2021-12-02,16,8,7.0
146,1,2021-12-02,17,8,7.0
147,1,2021-12-02,18,8,7.0
148,1,2021-12-02,19,8,7.0
149,1,2021-12-02,20,8,7.0
150,1,2021-12-02,21,8,7.0
151,1,2021-12-02,22,8,7.0
152,1,2021-12-02,23,8,7.0
153,1,2021-12-03,7,9,8.0
154,1,2021-12-03,8,9,8.0
155,1,2021-12-03,9,9,8.0
156,1,2021-12-03,10,9,8.0
157,1,2021-12-03,11,9,8.0
158,1,2021-12-03,12,9,8.0
159,1,2021-12-03,13,9,8.0
160,1,2021-12-03,14,9,8.0
161,1,2021-12-03,15,9,8.0
162,1,2021-12-03,16,9,8.0
163,1,2021-12-03,17,9,8.0
164,1,2021-12-03,18,9,8.0
165,1,2021-12-03,19,9,8.0
166,1,2021-12-03,20,9,8.0
167,1,2021-12-03,21,9,8.0
168,1,2021-12-03,22,9,8.0
169,1,2021-12-03,23,9,8.0
170,1,2021-12-04,7,9,8.0
171,1,2021-12-04,8,9,8.0
172,1,2021-12-04,9,9,8.0
173,1,2021-12-04,10,9,8.0
174,1,2021-12-04,11,9,8.0
175,1,2021-12-04,12,9,8.0
176,1,2021-12-04,13,9,8.0
177,1,2021-12-04,14,9,8.0
178,1,2021-12-04,15,9,8.0
179,1,2021-12-04,16,9,8.0
180,1,2021-12-04,17,9,8.0
181,1,2021-12-04,18,9,8.0
182,1,2021-12-04,19,9,8.0
183,1,2021-12-04,20,9,8.0
184,1,2021-12-04,21,9,8.0
185,1,2021-12-04,22,9,8.0
186,1,2021-12-04,23,9,8.0
187,1,2021-12-05,7,9,8.0
188,1,2021-12-05,8,9,8.0
189,1,2021-12-05,9,9,8.0
190,1,2021-12-05,10,9,8.0
191,1,2021-12-05,11,9,8.0
192,1,2021-12-05,12,9,8.0
193,1,2021-12-05,13,9,8.0
194,1,2021-12-05,14,9,8.0
195,1,2021-12-05,15,9,8.0
196,1,2021-12-05,16,9,8.0
197,1,2021-12-05,17,9,8.0
198,1,2021-12-05,18,9,8.0
199,1,2021-12-05,19,9,8.0
200,1,2021-12-05,20,9,8.0
201,1,2021-12-05,21,9,8.0
202,1,2021-12-05,22,9,8.0
203,1,2021-12-05,23,9,8.0
204,1,2021-12-06,7,8,7.0
205,1,2021-12-06,8,8,7.0
206,1,2021-12-06,9,8,7.0
207,1,2021-12-06,10,8,7.0
208,1,2021-12-06,11,8,7.0
209,1,2021-12-06,12,8,7.0
210,1,2021-12-06,13,8,7.0
211,1,2021-12-06,14,8,7.0
212,1,2021-12-06,15,8,7.0
213,1,2021-12-06,16,8,7.0
214,1,2021-12-06,17,8,7.0
215,1,2021-12-06,18,8,7.0
216,1,2021-12-06,19,8,7.0
217,1,2021-12-06,20,8,7.0
